user_id,day_index,sleep_duration,step_count,resting_heart_rate,stress_level,sleep_onset_time,HR_day_avg,HR_sleep_min
0,0,6.73,4133,57.7,0.33,1320,70.0,57.4
0,1,6.3,6378,69.7,0.33,1424,73.1,50.3
0,2,7.97,1089,86.5,0.32,1320,76.9,49.0
0,3,6.46,8127,64.9,0.26,1361,78.5,55.9
0,4,7.69,3894,48.7,0.35,1380,76.0,56.9
0,5,9.0,6725,62.8,0.31,1431,78.4,46.3
0,6,8.16,21184,60.5,0.36,1395,70.1,46.0
0,7,6.46,4538,67.0,0.37,1449,83.8,60.5
0,8,5.47,14692,68.7,0.39,1609,81.3,53.3
0,9,8.71,19296,60.6,0.48,1386,83.5,66.3
0,10,6.27,1462,62.5,0.51,1450,87.5,49.5
0,11,7.21,5928,69.7,0.46,1320,83.1,49.1
0,12,7.48,6165,85.3,0.39,1320,89.6,40.0
0,13,6.43,2442,80.8,0.37,1428,75.4,51.5
0,14,6.62,8949,65.4,0.39,1368,86.0,46.4
0,15,6.8,8134,57.9,0.37,1320,75.1,59.3
0,16,7.34,5952,74.7,0.33,1377,77.9,60.3
0,17,7.51,4000,61.4,0.37,1320,83.9,63.1
0,18,5.14,0,67.3,0.37,1391,75.4,57.5
0,19,9.0,7713,68.5,0.31,1430,70.0,52.4
0,20,7.13,16982,54.7,0.32,1345,82.4,57.4
0,21,7.85,7269,55.3,0.33,1451,83.6,60.2
0,22,7.71,7397,71.4,0.34,1396,82.8,51.8
0,23,6.77,4414,63.1,0.36,1320,89.0,53.2
0,24,7.52,11242,71.0,0.33,1383,89.5,48.5
0,25,8.86,17797,61.7,0.36,1352,76.1,46.0
0,26,8.5,6091,83.9,0.31,1320,89.4,60.9
0,27,8.84,17894,62.7,0.32,1402,79.4,47.7
0,28,6.98,5683,71.2,0.29,1472,75.8,54.0
0,29,7.84,7397,76.8,0.25,1492,83.6,59.3
0,30,8.52,10647,76.3,0.21,1533,76.9,54.9
0,31,9.0,8678,69.4,0.23,1476,71.5,61.0
0,32,8.5,8617,70.5,0.25,1452,78.7,50.3
0,33,8.32,20636,68.7,0.24,1320,77.0,45.0
0,34,6.54,15502,67.4,0.26,1320,78.8,57.2
0,35,8.19,2752,80.5,0.22,1446,79.3,53.4
0,36,8.06,13608,61.9,0.22,1400,82.1,47.2
0,37,7.15,5908,54.2,0.2,1389,74.9,67.9
0,38,6.73,7871,87.0,0.26,1401,82.9,65.3
0,39,7.38,25000,74.8,0.28,1358,76.5,57.3
0,40,8.64,14653,71.1,0.25,1483,77.9,61.7
0,41,7.22,7396,73.7,0.29,1320,75.5,60.1
0,42,7.74,10127,66.6,0.29,1417,86.5,54.1
0,43,8.86,25000,66.6,0.3,1320,75.6,59.3
0,44,8.36,12557,72.5,0.35,1365,70.0,54.5
0,45,6.64,3051,79.4,0.31,1320,76.4,44.0
0,46,7.37,7201,77.9,0.34,1492,86.6,54.8
0,47,7.67,15430,72.2,0.37,1381,71.7,52.1
0,48,9.0,8573,64.3,0.35,1450,80.1,49.0
0,49,8.24,25000,70.6,0.37,1357,78.9,53.5
0,50,8.21,20938,69.0,0.34,1539,81.6,50.8
0,51,9.0,9062,69.4,0.34,1410,71.1,43.3
0,52,7.36,12298,65.1,0.38,1346,93.8,58.7
0,53,9.0,1592,81.2,0.35,1453,83.7,56.5
0,54,8.67,9560,63.6,0.41,1320,72.3,52.8
0,55,7.97,8489,71.3,0.4,1320,75.0,53.6
0,56,8.24,13898,68.3,0.4,1427,82.3,43.9
0,57,9.0,7565,80.3,0.4,1416,73.7,64.0
0,58,8.25,8250,59.0,0.4,1420,88.8,41.7
0,59,7.6,13618,83.1,0.4,1320,74.6,47.1
0,60,5.96,10208,79.9,0.35,1566,82.3,62.4
0,61,6.38,8414,65.0,0.35,1527,70.9,49.9
0,62,7.99,6986,75.5,0.29,1473,71.1,45.4
0,63,5.43,9526,94.9,0.26,1448,82.8,49.7
0,64,7.85,10901,70.2,0.27,1406,70.0,47.7
0,65,8.49,21661,78.3,0.23,1320,77.9,47.1
0,66,7.75,1125,76.5,0.22,1344,81.3,41.3
0,67,7.31,5192,72.1,0.2,1409,72.8,40.8
0,68,6.14,6913,83.9,0.32,1379,83.6,53.6
0,69,7.93,1894,76.7,0.3,1320,77.8,40.0
1,0,6.94,10645,67.2,0.38,1320,82.2,51.9
1,1,6.45,6907,75.9,0.44,1336,81.6,43.7
1,2,6.64,4887,67.3,0.44,1505,73.7,42.1
1,3,7.8,8409,67.0,0.48,1320,76.3,49.0
1,4,6.38,8589,84.1,0.43,1553,84.7,52.8
1,5,4.85,0,74.9,0.36,1383,87.2,54.5
1,6,5.9,7735,75.7,0.39,1465,93.9,51.2
1,7,6.73,5679,87.6,0.37,1320,82.6,61.1
1,8,6.48,2154,77.4,0.35,1320,87.1,60.0
1,9,7.4,3873,78.9,0.39,1353,76.9,47.3
1,10,5.08,7692,80.3,0.33,1320,102.5,49.9
1,11,7.24,7591,71.9,0.35,1483,79.5,57.2
1,12,6.56,4158,77.4,0.38,1445,96.7,45.6
1,13,8.34,2979,67.1,0.36,1350,90.3,40.0
1,14,7.38,2737,66.2,0.34,1388,86.9,48.0
1,15,7.26,4463,73.4,0.3,1374,79.5,45.1
1,16,6.9,4359,65.1,0.28,1457,83.0,50.0
1,17,5.69,4017,80.0,0.29,1394,78.5,56.6
1,18,6.96,5200,88.4,0.27,1320,70.0,52.9
1,19,8.34,4147,70.2,0.31,1320,79.4,42.9
1,20,7.52,4963,74.6,0.28,1462,81.9,46.7
1,21,5.0,2584,92.8,0.35,1487,84.2,57.2
1,22,6.34,3039,80.5,0.33,1370,79.7,44.5
1,23,7.34,3655,68.5,0.35,1436,81.0,55.6
1,24,7.48,4384,78.6,0.37,1320,90.1,58.2
1,25,7.49,1722,74.5,0.33,1360,80.2,45.5
1,26,8.3,3471,77.3,0.37,1320,91.0,45.7
1,27,8.6,6671,68.3,0.37,1321,87.1,49.1
1,28,7.95,1499,76.7,0.35,1476,83.0,40.0
1,29,7.06,4523,79.8,0.35,1363,88.9,52.6
1,30,6.57,1504,76.8,0.3,1382,82.2,54.1
1,31,7.68,5896,75.3,0.24,1369,84.6,54.8
1,32,9.0,502,70.6,0.23,1428,93.7,47.5
1,33,6.37,3108,92.9,0.26,1371,85.9,53.3
1,34,4.9,510,63.7,0.23,1320,95.5,50.8
1,35,7.5,2370,77.6,0.19,1320,84.0,45.6
1,36,6.41,711,61.2,0.23,1397,89.5,40.4
1,37,6.14,194,72.9,0.32,1320,85.4,49.4
1,38,5.05,599,83.5,0.32,1320,93.8,42.2
1,39,4.62,1449,86.1,0.35,1403,87.5,59.0
1,40,7.09,293,70.8,0.3,1486,75.4,55.6
1,41,5.55,0,89.3,0.32,1506,86.9,48.8
1,42,5.99,0,71.0,0.29,1442,91.0,47.3
1,43,4.47,0,85.1,0.3,1368,99.7,51.8
1,44,4.96,1637,82.4,0.29,1320,89.0,45.1
1,45,7.18,194,94.5,0.28,1320,70.2,47.7
1,46,5.61,0,84.7,0.27,1540,88.6,50.9
1,47,6.14,2320,79.7,0.31,1320,80.5,53.2
1,48,6.1,1441,83.4,0.35,1523,94.0,48.5
1,49,5.73,509,91.0,0.32,1365,86.4,56.5
1,50,6.91,1591,84.8,0.35,1345,91.5,57.4
1,51,5.38,0,83.6,0.34,1403,91.2,51.2
1,52,4.34,0,91.9,0.33,1337,91.4,55.3
1,53,6.24,2232,72.5,0.3,1389,94.9,64.6
1,54,6.49,1445,72.7,0.25,1394,83.4,58.1
1,55,7.25,1020,80.9,0.27,1475,80.9,48.2
1,56,6.43,1162,79.2,0.33,1466,86.9,64.7
1,57,7.53,1070,82.4,0.46,1423,85.3,49.4
1,58,5.7,0,93.8,0.43,1377,89.3,56.4
1,59,7.15,1176,75.0,0.35,1500,77.8,63.1
1,60,6.38,366,69.3,0.38,1320,84.9,40.0
1,61,6.94,282,89.2,0.45,1415,97.1,51.8
1,62,6.58,810,86.6,0.43,1466,71.4,47.5
1,63,8.25,781,83.6,0.39,1392,81.2,46.6
1,64,7.15,1642,72.6,0.4,1485,89.7,50.5
1,65,8.96,163,82.5,0.46,1369,87.3,54.9
1,66,5.32,0,87.7,0.53,1445,91.2,54.1
1,67,6.75,392,85.7,0.5,1329,92.2,60.7
1,68,5.36,0,88.9,0.52,1471,90.9,47.9
1,69,6.4,332,93.4,0.49,1435,88.4,53.2
2,0,6.19,4588,52.7,0.31,1386,88.4,53.3
2,1,5.93,444,74.0,0.25,1351,70.0,56.8
2,2,4.38,1014,63.9,0.27,1467,97.6,59.0
2,3,6.87,3130,60.7,0.23,1451,70.0,50.6
2,4,5.05,0,74.1,0.19,1448,86.7,47.7
2,5,7.33,2984,76.4,0.29,1320,90.6,59.7
2,6,7.4,4129,72.9,0.3,1386,93.2,60.0
2,7,7.73,3279,80.4,0.28,1320,85.9,55.7
2,8,5.29,0,72.9,0.32,1503,104.1,55.3
2,9,5.84,1516,68.6,0.3,1338,98.5,61.8
2,10,5.57,0,81.5,0.36,1320,89.4,54.9
2,11,5.98,90,77.0,0.31,1320,97.8,64.8
2,12,6.56,870,82.8,0.29,1322,85.5,66.8
2,13,5.42,0,75.5,0.27,1364,95.9,58.8
2,14,7.31,494,59.7,0.28,1454,94.8,48.5
2,15,6.46,291,75.2,0.26,1369,94.2,54.5
2,16,6.36,2166,84.9,0.27,1334,91.1,56.1
2,17,6.23,645,67.3,0.35,1527,88.9,66.2
2,18,6.99,377,73.5,0.36,1543,89.5,53.8
2,19,7.31,923,84.0,0.34,1479,83.6,47.4
2,20,6.62,138,79.9,0.35,1410,91.7,53.9
2,21,6.97,1480,81.9,0.47,1321,82.3,56.5
2,22,7.24,819,65.8,0.39,1320,94.3,56.1
2,23,7.23,1325,78.9,0.46,1320,92.4,50.1
2,24,7.82,1867,72.3,0.51,1425,84.7,51.7
2,25,6.24,2105,91.0,0.54,1512,73.3,61.6
2,26,5.79,0,72.6,0.52,1320,97.5,60.8
2,27,6.64,518,87.3,0.54,1484,90.9,66.8
2,28,8.26,1211,74.4,0.49,1331,88.7,62.7
2,29,7.06,596,86.2,0.44,1352,75.9,61.5
2,30,6.56,2147,85.3,0.43,1450,79.8,57.0
2,31,8.37,1349,79.0,0.4,1525,89.8,50.9
2,32,7.23,1492,89.9,0.41,1428,93.8,51.1
2,33,6.18,574,79.6,0.42,1493,81.5,65.8
2,34,6.87,247,88.4,0.39,1474,80.6,60.4
2,35,5.88,314,86.2,0.33,1320,92.3,56.3
2,36,7.53,456,82.0,0.34,1483,91.4,49.6
2,37,5.57,0,89.1,0.29,1541,95.3,63.5
2,38,6.22,195,77.5,0.34,1467,73.7,61.3
2,39,7.32,577,95.0,0.35,1437,94.0,66.0
2,40,8.77,1235,86.6,0.37,1577,93.6,59.3
2,41,5.15,0,95.0,0.48,1593,89.9,57.9
2,42,7.66,835,81.6,0.45,1522,82.7,62.1
2,43,6.67,414,82.4,0.39,1404,86.6,49.8
